"2.074"	"0.073"	"3633.667"	"2.088"	"0.071"	"3633.667"	"2.088"	"0.071"	"3633.667"
"0.166"	"0.023"	"3633.667"	"14.932"	"3.026"	"3633.667"	"14.932"	"3.026"	"3633.667"
"0.125"	"0.026"	"3633.667"	"14.834"	"2.603"	"3633.667"	"14.834"	"2.603"	"3633.667"
"0.1"	"0.011"	"3633.667"	"14.881"	"2.376"	"3633.667"	"14.881"	"2.376"	"3633.667"
"0.081"	"0.012"	"3633.667"	"15.42"	"2.247"	"3633.667"	"15.42"	"2.247"	"3633.667"
"0.074"	"0.013"	"3633.667"	"15.909"	"2.218"	"3633.667"	"15.909"	"2.218"	"3633.667"
"4.449"	"1.919"	"3633.667"	"0.591"	"0.36"	"3633.667"	"10.53"	"4.773"	"3633.667"
"8.858"	"3.957"	"3633.667"	"0.343"	"0.296"	"3633.667"	"21.309"	"11.085"	"3633.667"
"11.665"	"5.837"	"3633.667"	"0.252"	"0.233"	"3633.667"	"27.292"	"13.696"	"3633.667"
"14.117"	"7.983"	"3633.667"	"0.199"	"0.199"	"3633.667"	"31.923"	"17.389"	"3633.667"
"15.843"	"9.207"	"3633.667"	"0.173"	"0.183"	"3633.667"	"34.284"	"19.11"	"3633.667"
"17.383"	"10.976"	"3633.667"	"0.151"	"0.166"	"3633.667"	"36.145"	"21.454"	"3633.667"
