"2.074"	"0.073"	"3633.667"	"2.087"	"0.12"	"1836.0"	"2.074"	"0.113"	"1921.667"	"2.088"	"0.071"	"3633.667"	"2.102"	"0.107"	"1570.417"	"2.074"	"0.106"	"2001.25"
"0.166"	"0.023"	"3633.667"	"2.899"	"0.728"	"1836.0"	"2.78"	"0.881"	"1921.667"	"14.932"	"3.026"	"3633.667"	"13.722"	"3.224"	"1570.417"	"13.544"	"3.588"	"2001.25"
"0.125"	"0.026"	"3633.667"	"2.746"	"0.749"	"1836.0"	"2.55"	"0.906"	"1921.667"	"14.834"	"2.603"	"3633.667"	"13.932"	"2.936"	"1570.417"	"13.335"	"2.971"	"2001.25"
"0.1"	"0.011"	"3633.667"	"2.649"	"0.672"	"1836.0"	"2.509"	"0.841"	"1921.667"	"14.881"	"2.376"	"3633.667"	"13.923"	"2.537"	"1570.417"	"13.447"	"2.862"	"2001.25"
"0.081"	"0.012"	"3633.667"	"2.614"	"0.642"	"1836.0"	"2.585"	"0.861"	"1921.667"	"15.42"	"2.247"	"3633.667"	"14.419"	"2.366"	"1570.417"	"13.97"	"2.744"	"2001.25"
"0.074"	"0.013"	"3633.667"	"2.554"	"0.555"	"1836.0"	"2.58"	"0.778"	"1921.667"	"15.909"	"2.218"	"3633.667"	"14.904"	"2.347"	"1570.417"	"14.473"	"2.689"	"2001.25"
"5.161"	"1.078"	"3633.667"	"3.599"	"1.127"	"1836.0"	"11.583"	"3.328"	"1921.667"	"23.986"	"4.786"	"3633.667"	"23.024"	"5.058"	"1570.417"	"22.802"	"5.136"	"2001.25"
"7.176"	"1.278"	"3633.667"	"4.904"	"1.615"	"1836.0"	"15.797"	"3.988"	"1921.667"	"29.12"	"5.454"	"3633.667"	"27.872"	"6.101"	"1570.417"	"27.567"	"5.892"	"2001.25"
"7.539"	"1.405"	"3633.667"	"5.069"	"1.767"	"1836.0"	"16.551"	"4.333"	"1921.667"	"29.952"	"5.672"	"3633.667"	"28.676"	"6.327"	"1570.417"	"28.347"	"6.071"	"2001.25"
"7.751"	"1.468"	"3633.667"	"5.153"	"1.815"	"1836.0"	"16.985"	"4.48"	"1921.667"	"30.434"	"5.773"	"3633.667"	"29.145"	"6.443"	"1570.417"	"28.802"	"6.163"	"2001.25"
"7.903"	"1.509"	"3633.667"	"5.217"	"1.845"	"1836.0"	"17.296"	"4.576"	"1921.667"	"30.776"	"5.836"	"3633.667"	"29.475"	"6.512"	"1570.417"	"29.127"	"6.226"	"2001.25"
"8.023"	"1.542"	"3633.667"	"5.266"	"1.872"	"1836.0"	"17.542"	"4.65"	"1921.667"	"31.048"	"5.892"	"3633.667"	"29.739"	"6.573"	"1570.417"	"29.385"	"6.276"	"2001.25"
