"0.17"	"0.173"	"3633.667"	"0.118"	"0.151"	"3633.667"	"0.118"	"0.151"	"3633.667"
"0.576"	"0.051"	"3633.667"	"0.564"	"0.122"	"3633.667"	"0.564"	"0.122"	"3633.667"
"0.608"	"0.013"	"3633.667"	"0.623"	"0.011"	"3633.667"	"0.623"	"0.011"	"3633.667"
"0.622"	"0.013"	"3633.667"	"0.63"	"0.01"	"3633.667"	"0.63"	"0.01"	"3633.667"
"0.634"	"0.01"	"3633.667"	"0.639"	"0.005"	"3633.667"	"0.639"	"0.005"	"3633.667"
"0.641"	"0.012"	"3633.667"	"0.644"	"0.007"	"3633.667"	"0.644"	"0.007"	"3633.667"
"0.463"	"0.039"	"3633.667"	"0.534"	"0.043"	"3633.667"	"0.454"	"0.037"	"3633.667"
"0.437"	"0.034"	"3633.667"	"0.503"	"0.051"	"3633.667"	"0.434"	"0.034"	"3633.667"
"0.419"	"0.04"	"3633.667"	"0.487"	"0.043"	"3633.667"	"0.42"	"0.028"	"3633.667"
"0.406"	"0.032"	"3633.667"	"0.468"	"0.046"	"3633.667"	"0.407"	"0.031"	"3633.667"
"0.393"	"0.033"	"3633.667"	"0.454"	"0.051"	"3633.667"	"0.4"	"0.021"	"3633.667"
"0.381"	"0.022"	"3633.667"	"0.442"	"0.047"	"3633.667"	"0.398"	"0.03"	"3633.667"
