"2.074"	"0.073"	"3633.667"	"2.088"	"0.071"	"3633.667"	"2.088"	"0.071"	"3633.667"
"4.496"	"1.697"	"3633.667"	"4.613"	"1.498"	"3633.667"	"4.613"	"1.498"	"3633.667"
"5.2"	"1.353"	"3633.667"	"5.037"	"1.006"	"3633.667"	"5.037"	"1.006"	"3633.667"
"5.503"	"1.382"	"3633.667"	"5.525"	"1.123"	"3633.667"	"5.525"	"1.123"	"3633.667"
"6.127"	"1.5"	"3633.667"	"6.096"	"1.061"	"3633.667"	"6.096"	"1.061"	"3633.667"
"6.614"	"1.642"	"3633.667"	"6.481"	"1.073"	"3633.667"	"6.481"	"1.073"	"3633.667"
"8.978"	"2.216"	"3633.667"	"7.508"	"1.462"	"3633.667"	"8.29"	"1.562"	"3633.667"
"9.671"	"2.363"	"3633.667"	"7.934"	"1.517"	"3633.667"	"8.68"	"1.63"	"3633.667"
"10.039"	"2.245"	"3633.667"	"8.378"	"1.463"	"3633.667"	"9.029"	"1.533"	"3633.667"
"10.803"	"2.413"	"3633.667"	"8.777"	"1.54"	"3633.667"	"9.332"	"1.551"	"3633.667"
"11.527"	"2.621"	"3633.667"	"9.536"	"1.566"	"3633.667"	"9.739"	"1.579"	"3633.667"
"12.107"	"2.771"	"3633.667"	"9.894"	"1.525"	"3633.667"	"10.163"	"1.678"	"3633.667"
