"0.17"	"0.173"	"3633.667"	"0.118"	"0.151"	"3633.667"	"0.118"	"0.151"	"3633.667"
"0.937"	"0.01"	"3633.667"	"0.0"	"0.0"	"3633.667"	"0.0"	"0.0"	"3633.667"
"0.953"	"0.013"	"3633.667"	"0.0"	"0.0"	"3633.667"	"0.0"	"0.0"	"3633.667"
"0.964"	"0.006"	"3633.667"	"0.0"	"0.0"	"3633.667"	"0.0"	"0.0"	"3633.667"
"0.972"	"0.006"	"3633.667"	"0.0"	"0.0"	"3633.667"	"0.0"	"0.0"	"3633.667"
"0.974"	"0.008"	"3633.667"	"0.0"	"0.0"	"3633.667"	"0.0"	"0.0"	"3633.667"
"0.072"	"0.118"	"3633.667"	"0.763"	"0.178"	"3633.667"	"0.0"	"0.0"	"3633.667"
"0.043"	"0.103"	"3633.667"	"0.839"	"0.167"	"3633.667"	"0.0"	"0.0"	"3633.667"
"0.024"	"0.064"	"3633.667"	"0.907"	"0.111"	"3633.667"	"0.0"	"0.0"	"3633.667"
"0.02"	"0.058"	"3633.667"	"0.923"	"0.094"	"3633.667"	"0.0"	"0.0"	"3633.667"
"0.017"	"0.052"	"3633.667"	"0.928"	"0.096"	"3633.667"	"0.0"	"0.0"	"3633.667"
"0.017"	"0.051"	"3633.667"	"0.937"	"0.081"	"3633.667"	"0.0"	"0.0"	"3633.667"
