"2.084"	"0.074"	"3633.667"	"2.088"	"0.066"	"3633.667"	"2.088"	"0.066"	"3633.667"
"0.159"	"0.011"	"3633.667"	"14.875"	"2.944"	"3633.667"	"14.875"	"2.944"	"3633.667"
"0.124"	"0.025"	"3633.667"	"14.773"	"2.567"	"3633.667"	"14.773"	"2.567"	"3633.667"
"0.1"	"0.012"	"3633.667"	"14.893"	"2.4"	"3633.667"	"14.893"	"2.4"	"3633.667"
"0.081"	"0.012"	"3633.667"	"15.436"	"2.287"	"3633.667"	"15.436"	"2.287"	"3633.667"
"0.074"	"0.014"	"3633.667"	"15.86"	"2.181"	"3633.667"	"15.86"	"2.181"	"3633.667"
"0.078"	"0.023"	"3633.667"	"17.509"	"2.612"	"3633.667"	"17.824"	"2.514"	"3633.667"
"0.068"	"0.02"	"3633.667"	"18.795"	"2.755"	"3633.667"	"18.94"	"2.605"	"3633.667"
"0.059"	"0.019"	"3633.667"	"19.657"	"2.761"	"3633.667"	"20.017"	"2.862"	"3633.667"
"0.057"	"0.016"	"3633.667"	"20.826"	"3.02"	"3633.667"	"21.165"	"3.002"	"3633.667"
"0.052"	"0.013"	"3633.667"	"21.838"	"3.118"	"3633.667"	"22.236"	"3.126"	"3633.667"
"0.048"	"0.019"	"3633.667"	"23.139"	"3.398"	"3633.667"	"23.538"	"3.335"	"3633.667"
